time,chl,nh4,no3,po4,thetao,so
2026-04-21,0.82377446,0.053924043,0.051708173,0.18000786,16.534071,37.343903
2026-04-22,0.64784235,0.07672699,0.12785123,0.18040541,16.229568,37.502647
2026-04-23,0.5529631,0.103992224,0.28991193,0.19279751,16.119177,37.337433
2026-04-24,0.5000354,0.12427697,0.44399902,0.20623158,16.150753,37.262817
2026-04-25,0.47100973,0.13885014,0.54946864,0.21550448,16.390837,37.21333
2026-04-26,0.4626562,0.14704026,0.5980783,0.22121178,16.759136,37.147095
2026-04-27,0.98389596,0.114771985,0.4687704,0.21118836,16.813692,37.344154
2026-04-28,1.1630961,0.078807704,0.20107932,0.18804443,16.891798,37.393566
2026-04-29,0.83236223,0.13436407,0.12793584,0.17762189,17.133398,37.39429
2026-04-30,0.65154517,0.19480412,0.15461072,0.18043698,17.20002,37.44998
2026-05-01,0.5106791,0.24108578,0.2261422,0.17744558,16.601912,37.81342
2026-05-02,0.47597548,0.24391237,0.30327561,0.1856507,16.59532,37.716236
2026-05-03,0.46736243,0.22319587,0.35770917,0.19154306,16.572544,37.598118
2026-05-04,0.73195857,0.15934853,0.3124198,0.18662786,16.594633,37.63065
2026-05-05,0.829895,0.08551003,0.15702449,0.16825764,16.845097,37.638805
2026-05-06,0.6411831,0.098830305,0.09689687,0.1539698,17.160019,37.623375
2026-05-07,0.51849353,0.116221376,0.08773047,0.14577691,17.315239,37.616768
2026-05-08,0.44563502,0.123633556,0.09666155,0.1426219,17.394855,37.591614
2026-05-09,0.39990488,0.12014568,0.1275438,0.14214431,17.459696,37.535095
2026-05-10,0.37032944,0.11263239,0.18159342,0.14407346,17.731802,37.471497
2026-05-11,0.5264173,0.087683,0.18440588,0.14222516,18.13438,37.41054
2026-05-12,0.5782839,0.055822533,0.10702109,0.13362019,18.524303,37.37455
2026-05-13,0.48147985,0.06911268,0.07713329,0.13210319,18.567947,37.406612
2026-05-14,0.41304484,0.07702114,0.06856923,0.12962234,18.167034,37.54892
2026-05-15,0.37653804,0.07327331,0.05876359,0.12820992,18.499578,37.518166
2026-05-16,0.3465789,0.06482144,0.06069479,0.12555583,18.8314,37.52215
2026-05-17,0.3242927,0.060172964,0.11027713,0.12729713,18.80155,37.54589
2026-05-18,0.3152286,0.06142482,0.1921867,0.1341501,18.514914,37.64065
2026-05-19,0.33165556,0.065412566,0.21620074,0.14547038,18.708387,37.583508
2026-05-20,0.3499338,0.07428967,0.21137547,0.15506813,18.55383,37.612022
2026-05-21,0.3832131,0.08223301,0.22901392,0.17235936,18.576254,37.583324
