time,chl,nh4,no3,po4,thetao,so
2025-11-23,0.49835712,0.41249663,3.753682,0.5165928,18.331226,35.858257
2025-11-24,0.5703709,0.40244073,4.150645,0.55472696,18.194242,35.97745
2025-11-25,0.6035271,0.3831404,4.2223716,0.5611881,18.157797,36.08686
2025-11-26,0.538895,0.40380782,4.361298,0.5742005,18.250332,36.250126
2025-11-27,0.4841145,0.43503585,4.517859,0.58806425,18.30188,36.355404
2025-11-28,0.44097915,0.4633763,4.917151,0.62569815,18.20229,36.412254
2025-11-29,0.38599902,0.45550647,5.152448,0.6383429,18.344267,37.022552
2025-11-30,0.36442733,0.42991048,5.0958667,0.62439233,18.21964,37.038136
2025-12-01,0.5515004,0.42516404,5.208434,0.6377085,17.984106,36.816505
2025-12-02,0.69548225,0.4381216,5.544323,0.6776506,17.795012,36.610516
2025-12-03,0.65538234,0.13981685,1.3155023,0.25705072,17.691336,36.53343
2025-12-04,0.59160846,0.4450817,5.8799453,0.7113194,17.520487,36.367405
2025-12-05,0.5518495,0.45894185,6.510624,0.7753825,17.389301,35.99707
2025-12-06,0.5113682,0.4754351,7.119805,0.8364194,17.76687,36.6648
2025-12-07,0.49206302,0.4733873,7.30364,0.85428613,17.647804,36.61016
2025-12-08,0.72511095,0.4944847,6.1151,0.7455037,17.603395,36.795223
2025-12-09,0.82688767,0.44560704,5.662948,0.7004672,17.455519,36.866314
2025-12-10,0.6946071,0.4626941,5.4308715,0.67929655,17.277906,36.844692
2025-12-11,0.60575634,0.49642578,5.2509294,0.6628637,17.1682,36.89755
2025-12-12,0.56309205,0.52311885,5.1018596,0.65018505,17.067633,36.98468
2025-12-13,0.5094768,0.5310664,4.706561,0.60577977,17.201714,37.37217
2025-12-14,0.47537455,0.51827455,4.213814,0.5497497,17.144863,37.513405
2025-12-15,0.7780991,0.47795755,3.8145196,0.5096383,17.08074,37.592167
2025-12-16,0.9240188,0.43102783,3.4122849,0.4720335,17.020079,37.652744
2025-12-17,0.7844424,0.43664643,3.1325526,0.44617277,16.952211,37.696545
2025-12-18,0.6867706,0.46351075,2.8960114,0.42381582,16.880152,37.7439
2025-12-19,0.6218658,0.49434537,2.7050648,0.40600848,16.781265,37.77225
2025-12-20,0.57238215,0.5232639,2.5697439,0.39313656,16.705973,37.800404
2025-12-21,0.5327726,0.54381824,2.447578,0.3802212,16.648884,37.832848
2025-12-22,0.50757325,0.55203766,2.335933,0.3680965,16.589527,37.86803
2025-12-23,0.48866194,0.56109875,2.2377028,0.3576097,16.539572,37.88207
