date,predicted_chl,bloom_risk_flag,threshold_used,risk_pct,risk_score,num_grid_points
2026-02-13,0.153,0,0.154,18.0,99.2,50
2026-02-14,0.153,0,0.154,18.0,99.2,50
2026-02-15,0.153,0,0.154,18.0,99.2,50
2026-02-16,0.153,0,0.154,18.0,99.2,50
2026-02-17,0.154,0,0.155,68.0,99.7,50
2026-02-18,0.154,0,0.154,68.0,99.6,50
2026-02-19,0.077,0,0.087,10.0,88.4,50
2026-02-20,0.079,0,0.096,10.0,82.1,50
,0.08,0,0.097,10.0,82.2,50
,0.08,0,0.097,10.0,82.2,50
,0.08,0,0.097,10.0,82.2,50
,0.08,0,0.097,10.0,82.2,50
2026-02-23,0.081,0,0.102,10.0,79.3,50
2026-02-24,0.079,0,0.094,10.0,83.7,50
2026-02-25,0.079,0,0.094,10.0,83.7,50
2026-02-26,0.081,0,0.099,10.0,82.1,50
2026-02-27,0.084,0,0.105,10.0,79.7,50
2026-02-28,0.086,0,0.107,10.0,80.1,50
2026-03-01,0.087,0,0.109,10.0,80.0,50
2026-03-03,0.089,0,0.113,10.0,78.7,50
2026-03-04,0.087,0,0.104,10.0,83.5,50
2026-03-05,0.089,0,0.105,10.0,85.3,50
2026-03-06,0.092,0,0.109,10.0,84.1,50
2026-03-07,0.094,0,0.111,10.0,84.7,50
2026-03-08,0.096,0,0.113,10.0,84.4,50
2026-03-09,0.098,0,0.118,10.0,83.5,50
2026-03-10,0.103,0,0.121,10.0,84.5,50
2026-03-11,0.098,0,0.109,10.0,89.8,50
2026-03-12,0.1,0,0.111,10.0,90.3,50
2026-03-13,0.102,0,0.111,10.0,92.0,50
2026-03-14,0.114,0,0.117,10.0,97.8,50
