date,predicted_chl,bloom_risk_flag,threshold_used,risk_pct,risk_score,num_grid_points
2026-02-13,0.758,0,0.786,64.1,96.4,312
2026-02-14,0.758,0,0.786,64.1,96.4,312
2026-02-15,0.758,0,0.786,64.1,96.4,312
2026-02-16,0.758,0,0.786,64.1,96.4,312
2026-02-17,0.758,0,0.786,64.1,96.4,312
2026-02-18,0.758,0,0.786,64.1,96.4,312
2026-02-19,0.758,0,0.786,64.1,96.4,312
2026-02-20,0.758,0,0.786,64.1,96.4,312
2026-02-17,0.757,0,0.763,70.5,99.2,312
2026-02-18,0.757,0,0.763,70.5,99.2,312
2026-02-19,0.757,0,0.763,70.5,99.2,312
2026-02-20,0.757,0,0.763,70.5,99.2,312
2026-02-21,0.757,0,0.763,70.5,99.2,312
2026-02-22,0.757,0,0.763,70.5,99.2,312
2026-02-23,0.757,0,0.763,70.5,99.2,312
2026-02-24,0.757,0,0.763,70.5,99.2,312
2026-02-18,0.803,0,0.811,70.5,99.0,312
2026-02-19,0.803,0,0.811,70.5,99.0,312
2026-02-20,0.803,0,0.811,70.5,99.0,312
2026-02-21,0.803,0,0.811,70.5,99.0,312
2026-02-22,0.803,0,0.811,70.5,99.0,312
2026-02-23,0.803,0,0.811,70.5,99.0,312
2026-02-24,0.803,0,0.811,70.5,99.0,312
2026-02-25,0.803,0,0.811,70.5,99.0,312
2026-02-18,0.764,0,0.87,10.3,87.8,312
2026-02-19,0.764,0,0.87,10.3,87.8,312
2026-02-20,0.764,0,0.87,10.3,87.8,312
2026-02-21,0.764,0,0.87,10.3,87.8,312
2026-02-22,0.764,0,0.87,10.3,87.8,312
2026-02-23,0.764,0,0.87,10.3,87.8,312
2026-02-24,0.764,0,0.87,10.3,87.8,312
2026-02-25,0.764,0,0.87,10.3,87.8,312
2026-02-19,0.761,0,0.868,10.3,87.7,312
2026-02-20,0.761,0,0.868,10.3,87.7,312
2026-02-21,0.761,0,0.868,10.3,87.7,312
2026-02-22,0.761,0,0.868,10.3,87.7,312
2026-02-23,0.761,0,0.868,10.3,87.7,312
2026-02-24,0.761,0,0.868,10.3,87.7,312
2026-02-25,0.761,0,0.868,10.3,87.7,312
2026-02-26,0.761,0,0.868,10.3,87.7,312
