time,chl,nh4,no3,po4,thetao,so
2025-09-09,0.039481316,0.08992922,0.41685456,0.005613533,26.538914,39.511803
2025-09-10,0.03766551,0.08959249,0.41969678,0.005675336,26.605825,39.52056
2025-09-11,0.034540832,0.0896846,0.42452252,0.005762084,26.7974,39.536118
2025-09-12,0.032501806,0.08987712,0.42332327,0.0057718777,27.040583,39.55041
2025-09-13,0.032009017,0.08986946,0.41904312,0.00574765,27.104862,39.558533
2025-09-14,0.032098625,0.08987408,0.41321507,0.005724369,27.13259,39.55371
2025-09-15,0.036011416,0.0891196,0.40499026,0.005730894,27.10785,39.547943
2025-09-16,0.04003335,0.08761859,0.3850463,0.0056990157,27.005882,39.549263
2025-09-17,0.037947938,0.08838126,0.3641626,0.0056372466,26.995373,39.55515
2025-09-18,0.03584299,0.08947997,0.35107717,0.005559711,26.71257,39.53656
2025-09-19,0.03458042,0.09000772,0.34937522,0.005576405,26.273443,39.503994
2025-09-20,0.032764196,0.09074654,0.35859388,0.00573195,26.452187,39.53811
2025-09-21,0.032284208,0.09121861,0.36829293,0.0058168243,26.630388,39.56806
2025-09-22,0.032132216,0.0911871,0.37568095,0.0058468534,27.018915,39.627823
2025-09-23,0.031740297,0.09104771,0.37885365,0.0058654076,27.236572,39.676117
2025-09-24,0.03157182,0.091144554,0.38069648,0.005876779,27.271,39.68541
2025-09-25,0.03242284,0.09109015,0.38204175,0.0058747195,27.136204,39.68273
2025-09-26,0.033448275,0.09098012,0.38205948,0.005856682,27.162819,39.685684
2025-09-27,0.03354637,0.09112817,0.3816885,0.0058451425,27.148281,39.683647
2025-09-28,0.03270196,0.091414765,0.38134015,0.005846085,27.044294,39.68607
2025-09-29,0.032412823,0.091105506,0.37888902,0.005837518,26.994938,39.70022
2025-09-30,0.03358623,0.08991169,0.3731553,0.0057879,26.831,39.70372
2025-10-01,0.033997763,0.08890948,0.36319536,0.005674179,26.52572,39.67588
2025-10-02,0.03105876,0.08806785,0.36590487,0.005741181,26.597593,39.71683
2025-10-03,0.027399056,0.08779551,0.36963248,0.0058008474,26.561829,39.722965
2025-10-04,0.0258073,0.087251306,0.37279475,0.0058291093,26.58825,39.72146
2025-10-05,0.026204217,0.08588004,0.37441316,0.005840565,26.664576,39.73944
2025-10-06,0.027772963,0.0849571,0.36820623,0.005768394,26.537025,39.741436
2025-10-07,0.028876688,0.08459507,0.3645109,0.005727074,26.321253,39.728123
2025-10-08,0.029771747,0.08429066,0.3630618,0.0057117576,25.970747,39.700096
2025-10-09,0.031328484,0.084781416,0.35050875,0.0055658845,25.271044,39.636963
